name,price,screen_size,display_resolution,cpu,proccessor_cores,set_of_cpu,cpu_frequency,gpu,ram,memory,operating_system,weight,brand
Lenovo ThinkPad X1 Carbon 10 21CB006QRT,240574,14.0,1920х1200 ,Intel Core i5 ,12.0,1240P ,1.7,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1120.0,Lenovo 
Lenovo ThinkPad T14 21AH00BCRT,157648,14.0,1920х1200 ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1478.0,Lenovo 
ASUS ASUS Zenbook 14 90NB0W95-M00CN0,124806,14.0,2880x1800 ,AMD Ryzen 5 ,6.0,5625U ,2.3,AMD Radeon Graphics ,8.0,SSD ,Windows 11 Home ,1390.0,ASUS 
F+ FLTP-5R FLTP-5R5-16512-W,51300,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5600U ,2.6,AMD Radeon Vega Graphics ,16.0,SSD ,Windows 11 Home ,1760.0,F+ 
HP ProBook 445 G9 6F1U5EA,129610,14.0,1920x1080 FHD ,AMD Ryzen 7 ,8.0,5825U ,2.0,AMD Radeon Graphics ,8.0,SSD ,Windows 11 Pro ,1380.0,HP 
ASUS X415EA-EB512 90NB0TT2-M17960,45020,14.0,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1600.0,ASUS 
Lenovo ThinkPad X1 G10 21CB000FUS,208544,14.0,1920x1080 FHD ,Intel Core i7 ,12.0,1270P ,3.5,Intel Iris Xe Graphics ,32.0,SSD ,Windows 11 Pro ,1705.2024914285716,Lenovo 
HIPER EXPERTBOOK MTL1601 MTL1601A1115DS,49500,16.1,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,2.1,Intel UHD Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,HIPER 
Dell LATITUDE 5530 CC-DEL1155D524,105700,15.6,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,16.0,SSD ,Ubuntu ,1590.0,Dell 
HP 250 G8 2X7W7EA,46800,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1035G1 ,1.0,Intel UHD Graphics ,8.0,HDD ,DOS / без ОС ,1740.0,HP 
Lenovo IdeaPad 3 15IGL05 81WQ00JARK,37340,15.6,1920x1080 FHD ,Intel Pentium Silver ,4.0,N5030 ,1.1,Intel UHD Graphics 605 ,8.0,SSD ,no OS (без операционной системы) ,1700.0,Lenovo 
Lenovo Yoga 7 16IAP7 82QG003HRU,137862,16.0,2560х1600 ,Intel Core i5 ,12.0,1240P ,1.7,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1980.0,Lenovo 
ASUS X1503ZA-L1232 90NB0WY1-M00NL0,84047,15.6,1920x1080 FHD ,Intel Core i5 ,12.0,12500H ,2.5,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1730.0,ASUS 
ASUS P1512CEA-BQ0164 90NX05E1-M005X0,57793,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,ASUS 
