,name,price,Гарантия ,Диагональ дисплея ,Разрешение дисплея ,Частота обновления ,Тип матрицы экрана ,Процессор ,Количество ядер процессора ,Серия процессора. ,Частота процессора ,Частота процессора (режим Turbo) ,Кэш-память ,Тип видеокарты ,Видеокарта ,Тип оперативной памяти ,Оперативная память ,Тип носителя данных ,Объем твердотельного накопителя SSD ,Типоразмер ,Интерфейс SSD ,Wi-Fi ,BlueTooth ,USB 3.0 ,Thunderbolt ,HDMI ,Аудио ,Разъемы ,Установленная ОС ,Сертификаты (звук) ,Встроенные динамики ,Замок Kensington ,Веб-камера ,Блок питания ,Цвет ,Линейка ,Вес ,Бренд,Покрытие экрана ,Чипсет ,Частота ,LAN ,USB 3.2 ,USB-Type-C / Thunderbolt (совмещенные) ,Звуковая система ,Встроенный микрофон ,Подсветка клавиатуры ,Прочее ,Привод ,USB-Type-C ,Макс. поддерживаемая память ,Сканер отпечатка пальца ,Аккумулятор ,Кол-во слотов памяти ,Язык раскладки клавиатуры ,Серия ,USB 2.0 ,Видеовыход ,Емкость аккумулятора ,Считыватель карт памяти ,Скорость вращения ,USB 3.1 ,Сенсорный экран ,Объем видеопамяти ,Время автономной работы ,Покрытие крышки дисплея ,Игровой ,Объем жесткого диска ,Стилус ,Размеры ,Емкость встроенной памяти eMMC ,Мобильная сеть ,Категория ,Express Card ,Компоновка памяти ,Внешний монитор ,Тип Wi-Fi ,ПО ,Материал и цвет palmrest ,Модель 
0,Ноутбук Lenovo ThinkPad X1 Carbon 10 21CB006QRT,240574 руб.,1 год ,14 дюйм ,1920х1200 ,60 Гц ,TFT IPS ,Intel Core i5 ,12 ,1240P ,1.7 ГГц ,4.4 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,LPDDR5 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,2 ,2 ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",1 x Nano-SIM Card Slot ,Windows 11 Pro ,Dolby Atmos ,2 x 2 Вт ,Есть ,Есть ,65 Вт ,Черный ,ThinkPad ,1120 г ,Lenovo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ноутбук Lenovo ThinkPad T14 21AH00BCRT,157648 руб.,,14 дюйм ,1920х1200 ,,TFT IPS ,Intel Core i5 ,10 ,1235U ,1.3 ГГц ,4.4 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,Dolby Audio ,2 x 2 Вт ,Есть ,Есть ,65 Вт ,Черный ,,1478 г ,Lenovo ,Антибликовое ,Intel SoC Platform ,3200 MHz ,Gigabit Ethernet 10/100/1000 ,2 ,2 ,стереодинамики ,Встроенный массив микрофонов ,Есть ,Ш х Г х В  317.7 x 226.9 x 17.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ноутбук ASUS ASUS Zenbook 14 90NB0W95-M00CN0,124806 руб.,,14 дюйм ,2880x1800 ,,OLED ,AMD Ryzen 5 ,6 ,5625U ,2.3 ГГц ,,,Встроенная ,AMD Radeon Graphics ,LPDDR4X ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,Jet black ,,1390 г ,ASUS ,Глянцевое ,,,,2 ,,,Встроенный аналоговый микрофон ,,,Нет ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ноутбук F+ FLTP-5R FLTP-5R5-16512-W,51300 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,AMD Ryzen 5 ,6 ,5600U ,2.6 ГГц ,4 ГГц ,16 Mb ,Встроенная ,AMD Radeon Vega Graphics ,RAM ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,,,,,1760 г ,F+ ,,,,Gigabit Ethernet 10/100/1000 ,2 ,,стереодинамики ,2 встроенных цифровых микрофона ,Есть ,,,,32 Gb ,Есть ,3-Cell Li-Pol ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ноутбук HP ProBook 445 G9 6F1U5EA,129610 руб.,1 год ,14 дюйм ,1920x1080 FHD ,,,AMD Ryzen 7 ,8 ,5825U ,2 ГГц ,4.5 ГГц ,,Встроенная ,AMD Radeon Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,3 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,Есть ,,Серебристый ,,1380 г ,HP ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,стереодинамики ,,,,,1 ,,,3-Cell Li-Ion ,2 ,Русский ,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ноутбук ASUS X415EA-EB512 90NB0TT2-M17960,45020 руб.,,14 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i3 ,2 ,1115G4 ,3 ГГц ,,,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,Есть ,,Серый ,,1600 г ,ASUS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ноутбук Lenovo ThinkPad X1 G10 21CB000FUS,208544 руб.,1 год ,14 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i7 ,12 ,1270P ,3.5 ГГц ,4.8 ГГц ,18 Mb ,Встроенная ,Intel Iris Xe Graphics ,LPDDR5 ,32 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,2 ,есть ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,Есть ,65 Вт ,Черный ,,,Lenovo ,Антибликовое ,объединен с процессором ,5200 MHz ,,,,,,,,,,,,Li-Ion ,,Английский ,"1,12 ",,,,,,,,,,,,,,,,,,,,,,,,
7,Ноутбук HIPER EXPERTBOOK MTL1601 MTL1601A1115DS,49500 руб.,1 год ,16.1 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i3 ,2 ,1115G4 ,2.1 ГГц ,4.1 ГГц ,6 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,M.2 ,SATA ,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,2 x 1.0 Вт ,,Есть ,,Серебристый ,,,HIPER ,Матовое ,,2666 MHz ,,,,стереодинамики ,Встроенный аналоговый микрофон ,Есть ,"Ш х Г х В  369 х 235 х 22,5 ",Нет ,1 ,64 Gb ,,Li-Ion ,2 ,,,1 ,DisplayPort ,4700 mAh ,"есть, поддержка microSD (XC) ",,,,,,,,,,,,,,,,,,,,
8,Ноутбук Dell LATITUDE 5530 CC-DEL1155D524,105700 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i5 ,10 ,1235U ,1.3 ГГц ,4.4 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,,,Ubuntu ,,,Есть ,Есть ,,Серый ,,1590 г ,Dell ,Матовое ,,3200 MHz ,,,,,,,Ш х Г х В  358 х 233 х 22 ,Нет ,,,,,,Английский ,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ноутбук HP 250 G8 2X7W7EA,46800 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,4 ,1035G1 ,1 ГГц ,3.6 ГГц ,6 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,HDD ,1000 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Silver (Серебристый) ,,1740 г ,HP ,,,,Gigabit Ethernet 10/100/1000 ,,,,,,,Нет ,1 ,,,3-Cell Li-Ion ,,,,,,,,5400 об./мин. ,2 ,,,,,,,,,,,,,,,,,,
